5.0,0.8,1.1941453270915627E-29
5.0,0.8400000000000001,1.2002239523713139E-29
5.0,0.88,1.2086583512309637E-29
5.0,0.92,1.2190649910436446E-29
5.0,0.96,1.2311346735164174E-29
5.0,1.0,1.2446163026830596E-29
5.0,1.04,1.259304473642188E-29
5.0,1.08,1.2750299864962794E-29
5.0,1.12,1.291652509937172E-29
5.0,1.16,1.3090549027010343E-29
5.0,1.2,1.327138784602611E-29
6.0,0.8,1.2046498072074416E-29
6.0,0.8400000000000001,1.1963993727447136E-29
6.0,0.88,1.1919431238470548E-29
6.0,0.92,1.1906471240989616E-29
6.0,0.96,1.192000777964205E-29
6.0,1.0,1.1955905041763573E-29
6.0,1.04,1.2010792531330093E-29
6.0,1.08,1.2081906490817663E-29
6.0,1.12,1.2166966527966508E-29
6.0,1.16,1.226407920658039E-29
6.0,1.2,1.2371663311389795E-29
7.0,0.8,1.275058494423598E-29
7.0,0.8400000000000001,1.2494887834999886E-29
7.0,0.88,1.2298143232713025E-29
7.0,0.92,1.2150379478664657E-29
7.0,0.96,1.204352693650721E-29
7.0,1.0,1.1971037824422935E-29
7.0,1.04,1.1927578887427499E-29
7.0,1.08,1.1908786053286946E-29
7.0,1.12,1.1911070164025779E-29
7.0,1.16,1.1931463645795675E-29
7.0,1.2,1.196749944586548E-29
8.0,0.8,1.405552433002625E-29
8.0,0.8400000000000001,1.3577214871020758E-29
8.0,0.88,1.3187546245265168E-29
8.0,0.92,1.2871636559856914E-29
8.0,0.96,1.2617291929663976E-29
8.0,1.0,1.2414538703098275E-29
8.0,1.04,1.2255216371352604E-29
8.0,1.08,1.21326354480327E-29
8.0,1.12,1.2041295512580404E-29
8.0,1.16,1.197665680175491E-29
8.0,1.2,1.1934956064408104E-29
9.0,0.8,1.6039925223089647E-29
9.0,0.8400000000000001,1.526927491168778E-29
9.0,0.88,1.4627372984086575E-29
9.0,0.92,1.4093309622616616E-29
9.0,0.96,1.3649578579118945E-29
9.0,1.0,1.328163172498857E-29
9.0,1.04,1.2977432183476905E-29
9.0,1.08,1.272704061950891E-29
9.0,1.12,1.2522250038811197E-29
9.0,1.16,1.2356274652371359E-29
9.0,1.2,1.2223489913444989E-29
10.0,0.8,1.883836638703612E-29
10.0,0.8400000000000001,1.7685109981869217E-29
10.0,0.88,1.6711873456709455E-29
10.0,0.92,1.5891215675096692E-29
10.0,0.96,1.5199452343611696E-29
10.0,1.0,1.4616415090122656E-29
10.0,1.04,1.4125098987571877E-29
10.0,1.08,1.3711263163186367E-29
10.0,1.12,1.3363031178210732E-29
10.0,1.16,1.3070518053066045E-29
10.0,1.2,1.2825499074958387E-29
11.0,0.8,2.2629969825863796E-29
11.0,0.8400000000000001,2.098485929845837E-29
11.0,0.88,1.958144228972904E-29
11.0,0.92,1.8386221530994045E-29
11.0,0.96,1.7369197567629372E-29
11.0,1.0,1.6503997365788463E-29
11.0,1.04,1.576778689375005E-29
11.0,1.08,1.5141030774899495E-29
11.0,1.12,1.4607163410014105E-29
11.0,1.16,1.4152224227140373E-29
11.0,1.2,1.3764493218448653E-29
12.0,0.8,2.762958330139642E-29
12.0,0.8400000000000001,2.536771258921612E-29
12.0,0.88,2.3417422699334985E-29
12.0,0.92,2.1740609156988517E-29
12.0,0.96,2.0301769015077563E-29
12.0,1.0,1.9068530057659235E-29
12.0,1.04,1.8011937739397424E-29
12.0,1.08,1.710651707411222E-29
12.0,1.12,1.633015594231048E-29
12.0,1.16,1.566386458245728E-29
12.0,1.2,1.5091464431626566E-29
13.0,0.8,3.408029689616643E-29
13.0,0.8400000000000001,3.106529721762402E-29
13.0,0.88,2.843699205899584E-29
13.0,0.92,2.6154713858604336E-29
13.0,0.96,2.4179083238008127E-29
13.0,1.0,2.247281520624898E-29
13.0,1.04,2.1001350012941704E-29
13.0,1.08,1.9733273011593904E-29
13.0,1.12,1.864051666616965E-29
13.0,1.16,1.769837142399469E-29
13.0,1.2,1.6885345171419815E-29
14.0,0.8,4.2247103453362375E-29
14.0,0.8400000000000001,3.833542934811961E-29
14.0,0.88,3.488761987718308E-29
14.0,0.92,3.186265672674807E-29
14.0,0.96,2.9219361020368374E-29
14.0,1.0,2.6917297573019097E-29
14.0,1.04,2.4917613859854496E-29
14.0,1.08,2.3183747866106044E-29
14.0,1.12,2.1681959044421194E-29
14.0,1.16,2.0381656631774505E-29
14.0,1.2,1.925553610058719E-29
15.0,0.8,5.241049615746082E-29
15.0,0.8400000000000001,4.7455929746512283E-29
15.0,0.88,4.304121176995963E-29
15.0,0.92,3.912719349057837E-29
15.0,0.96,3.56731262123702E-29
15.0,1.0,3.263755288199189E-29
15.0,1.04,2.9979212310245596E-29
15.0,1.08,2.765790395883151E-29
15.0,1.12,2.563525647535565E-29
15.0,1.16,2.387535023727456E-29
15.0,1.2,2.234516100129532E-29
